145771 - COURO BOV.ACAB. ECO SOFT,CAMEL,10/12MM(119/2)|OC-190336/189483 OI-
3028|190,4300|06,10
145277 - COURO BOV.,ECO SOFT,PRETO,09/11MM(56/2)|OC-192824-191743 OI-
3117|101,6000|07,10
145277 - COURO BOV.,ECO SOFT,PRETO,09/11MM(39/2)|OC-192824-191743 OI-
3117|73,5100|07,10
145771 - COURO BOV.ACAB. ECO SOFT,CAMEL,10/12MM(2/2)|OC-192824-191743 OI-
3117|3,1300|06,10
154043 - CAL NAPA STOCK BRANCO 11/13" CAL 0029-11(2/2)|OC- 5763911 OI - 2964|2,0000|43,98
155846 - COURO BOV.,ACAB. NAPA STOCK,PRETO,11/13MM(54/2)|OC- 8517811|183,3400|74,62
125238 - CAL TAP BABY TIGRE WI-07 PRETO/FUNDO OFF WHITE-JEA|OC - 5494611|2,0000|18,40
106485 - ACRESCIMOS DESPESAS FINANCEIRAS|OC- 6636911 OI - 2989|115,3700|99,65
106485 - ACRESCIMOS DESPESAS FINANCEIRAS|OC - 3120711 OI - 2749|2,0000|63,18
140443 - COURO BOV.,ACAB. RASPA SEGURANÇA,BRANCO,17/19MM|OC - 3120711 OI - 2749|255,5500|23,05
136640 - COURO BOV.ACAB.,RASPA SEGURANÇA,BLACK 7436 17/19 M|OC- 8234611 OI- 3043|14,0000|50,40
106485 - ACRESCIMOS DESPESAS FINANCEIRAS|OC- 7701411 OI- 3015|539,5700|6,00
154238 - CAL COW LINING Z CARAMELO  08/10"NABI(AMOS)(12/2)|OC- 7701411 OI- 3015|10,0000|6,00
154152 - TAP TINGIDO SÓLIDO PRETO - NABI(6PC)|OC- 7701411 OI- 3015|514,2400|46,88
151626 - CAMURÇA TOSTADO 8534 12/14"NABI(10PC)|OC- 7701411 OI- 3015|183,3400|33,83
106485 - ACRESCIMOS DESPESAS FINANCEIRAS|OC - 3120711 OI - 2749|4,0000|6,00
128635 - COURO BOV.,RASPA CAMURCAO,PRETO,10/12MM(19PC)|OC- OI - 2705|370,9200|02,00
139246 - COURO BOV.C/PELO,SER.LEOPARDO WOMAN BG ESCURO|OC- 6636911 OI - 2987|3,2000|77,20
106485 - ACRESCIMOS DESPESAS FINANCEIRAS|OC- 6636911 OI - 2987|2,7300|44,80
156096 - CAL TAP TINGIDO SÓLIDO PRETO(4PELE)|OC- 6636911 OI - 2987|2,5300|47,20
156096 - CAL TAP TINGIDO SÓLIDO PRETO(2/2)|OC- 6636911 OI - 2987|3,6200|12,25
106485 - ACRESCIMOS DESPESAS FINANCEIRAS|OC- 6636911 OI - 2987|3,4100|6,00
106485 - ACRESCIMOS DESPESAS FINANCEIRAS|OC- 6636911 OI - 2987|97,7400|71,60
155637 - COURO BOV.,ACAB. CPOW LINING Z,CARAMELO,08/10MM|OC- 6636911 OI - 2987|3,3000|6,00
155637 - COURO BOV.,ACAB. CPOW LINING Z,CARAMELO,08/10MM|OC -
10570011|2,0000|17,08
106485 - ACRESCIMOS DESPESAS FINANCEIRAS|OC - 3120711 OI - 2749|1,0000|6,00
155637 - COURO BOV.,ACAB. CPOW LINING Z,CARAMELO,08/10MM|OC - 3120711 OI - 2749|302,2500|04,85
145279 - TAP CAMUFLADO PONY WI-66( MIL.PRADA)/BEGE-NEW(AMO)|OC- 9656711 OI - 3086|203,9900|6,00
148447 - COURO BOV. ACAB. DIVERSOS REFUGO (32/2)|OC - 3515011 OI - 2842|2,0000|75,51
000000 - NF COMPLEMENTAR DE IPI REF N/NF 11965 DE 16/02/11|OC- 3221111 OI - 2568|21,5900|6,00
